433,2678,767,2689
871,461,955,576
26,1867,145,2006
692,589,1228,1009
1099,574,1181,659
1355,1245,1409,1296
709,589,1228,948
776,722,823,776
797,722,823,776
679,576,1317,1057
35,659,62,785
1258,1956,1536,2585
1422,363,1463,473
1492,239,1642,2559
901,223,1432,250
867,535,934,603
1282,1532,1322,1557
867,535,930,576
415,1668,430,2340
415,1869,430,2340
97,2142,128,2263
1085,887,1161,1117
1533,253,1642,2559
679,587,1317,1057
631,238,901,250
679,587,1317,1055
692,759,916,1009
692,587,1317,1055
731,1732,781,1829
1113,589,1181,659
1053,785,1123,943
1227,2595,1502,2678
1299,1064,1355,1128
1288,736,1333,913
1381,1523,1409,1568
893,1854,1308,2494
1021,2247,1385,2678
1183,1767,1242,1822
939,723,984,790
834,1648,886,1698
834,2687,900,2706
1643,2477,1649,2684
415,246,449,1329
871,461,955,589
13,656,41,2129
1575,2338,1643,2678
13,656,32,2129
1323,1077,1355,1128
1605,1055,1637,1751
415,1937,427,2004
1462,598,1507,656
1625,925,1650,1618
1441,1300,1469,1418
431,252,461,785
1288,1622,1362,1699
1311,1622,1362,1699
430,252,501,2677
1023,920,1111,1055
1501,2347,1537,2449
1033,680,1088,751
696,827,778,1057
696,900,778,1057
891,770,1005,848
661,1312,1181,1703
938,792,1005,845
429,239,641,250
1170,662,1317,966
835,962,956,1128
1169,800,1216,867
1080,574,1142,618
415,246,449,1126
415,585,430,1126
27,927,129,1055
725,2565,802,2595
692,587,1317,1015
1135,595,1200,672
1643,704,1649,990
763,735,860,855
763,767,835,855
1592,1076,1645,2677
1592,1076,1645,2398
1592,1076,1624,1809
1210,1737,1520,2131
27,2141,128,2271
1058,956,1111,1055
32,2141,128,2271
884,564,934,603
402,2206,427,2409
402,2206,427,2341
1053,803,1106,943
1025,606,1197,758
1025,612,1145,758
725,2565,774,2595
1025,624,1130,758
1123,2262,1190,2318
1541,1843,1614,2196
23,787,142,928
460,251,846,253
1374,1182,1456,1422
33,2141,128,2271
1186,662,1317,966
1186,662,1313,856
33,2141,114,2247
482,2678,767,2689
482,2678,735,2689
415,1802,427,1868
837,962,956,1111
843,697,892,748
1238,223,1432,250
1605,1122,1634,1751
1605,925,1650,2677
1605,1122,1634,1730
14,1710,21,1861
1608,1691,1645,2677
1605,1122,1634,1647
1605,1122,1634,1558
1116,804,1263,1102
23,1872,129,2133
913,673,990,752
23,1872,129,2009
13,704,169,2282
1299,1064,1342,1128
1492,239,1642,510
13,706,22,2129
94,2142,128,2263
13,704,25,2191
94,2142,116,2225
901,238,1251,250
981,1045,1093,1231
747,2071,1157,2677
1156,2000,1205,2041
1515,252,1561,275
686,405,1496,852
997,654,1053,704
40,1468,128,1596
815,825,896,921
1136,1852,1187,1933
743,600,858,688
1166,627,1200,672
1643,220,1678,2708
900,808,965,848
1363,1031,1404,1084
24,791,129,920
1116,804,1263,1083
135,927,141,1055
1183,800,1216,853
16,2009,21,2239
26,2141,80,2271
1231,831,1307,981
752,625,812,710
1296,817,1490,1280
867,527,908,576
75,2141,128,2258
1545,252,1642,1212
433,2678,901,2689
1328,250,1507,286
1605,1122,1633,1519
1608,1122,1633,1519
1608,1177,1633,1519
1365,1636,1415,1684
1613,1177,1633,1360
1222,2445,1258,2495
1208,516,1596,1089
1232,347,1342,421
1321,1675,1630,2678
1128,1099,1185,1202
1023,785,1123,1055
1077,785,1123,834
1091,1117,1160,1222
1109,1117,1160,1200
1099,574,1142,608
27,927,129,978
715,1564,785,1694
1220,294,1259,333
917,638,982,719
747,2330,1157,2677
913,712,983,752
913,719,971,752
976,250,1342,571
1095,666,1184,734
1186,662,1286,828
1056,633,1107,689
41,1333,128,1460
1264,1532,1308,1576
1023,920,1066,988
94,2145,121,2258
1599,1076,1624,1597
448,2301,471,2677
1599,1174,1621,1597
100,2143,128,2263
1291,2510,1359,2593
1605,1477,1634,1730
1166,390,1247,449
461,2091,497,2353
770,895,815,975
1608,1318,1632,1519
1605,1477,1625,1633
1169,813,1207,867
1116,804,1263,1073
625,1557,1170,2081
976,250,1342,539
746,1466,990,1703
1025,624,1123,758
975,732,1020,780
1085,887,1154,1081
1291,2510,1337,2572
1107,1756,1281,2152
1434,363,1463,455
445,2340,454,2528
1271,2426,1316,2488
1399,1094,1431,1245
1025,633,1123,758
27,2008,129,2137
1321,1882,1575,2678
771,251,914,310
1480,1675,1630,2677
765,2613,1671,2712
40,1610,106,1730
893,2071,1043,2364
864,805,897,843
67,793,128,920
1321,1882,1568,2677
1372,345,1420,426
1107,1756,1278,2151
1401,1120,1441,1171
1620,1440,1634,1558
1047,633,1123,758
1055,633,1123,758
135,2142,145,2271
1105,685,1184,734
1220,1788,1392,2131
1105,685,1164,734
1105,704,1164,734
28,928,56,1055
746,1805,852,1955
40,1873,128,2000
1257,797,1317,966
1399,1152,1431,1245
714,761,916,1009
51,929,128,1055
1374,1218,1440,1422
1462,596,1507,712
42,2141,128,2258
1241,347,1342,421
42,2141,128,2233
1259,347,1342,411
746,1466,981,1703
816,589,1150,779
1135,595,1258,753
822,589,1150,779
880,589,1150,779
1274,1758,1362,1818
1040,463,1496,852
1212,914,1255,1029
765,2680,968,2707
709,666,781,799
686,405,1064,673
1295,1586,1346,1631
1238,239,1432,250
912,250,1411,571
653,816,1129,1219
1643,220,1678,2705
1545,1843,1614,2196
1545,1843,1614,2169
1643,1261,1672,2705
709,631,1228,948
13,706,25,2191
13,706,21,2129
1273,1724,1520,2207
